nepali_date,english_date,day,specialday,holiday,event
1/1/2071,4/14/2014,mon,FALSE,TRUE,nepali new year
1/2/2071,4/15/2014,tue,FALSE,FALSE,no event
1/3/2071,4/16/2014,wed,FALSE,FALSE,no event
1/4/2071,4/17/2014,thu,FALSE,FALSE,no event
1/5/2071,4/18/2014,fri,FALSE,FALSE,no event
1/6/2071,4/19/2014,sat,FALSE,TRUE,no event
1/7/2071,4/20/2014,sun,FALSE,FALSE,no event
1/8/2071,4/21/2014,mon,TRUE,FALSE,no event
1/9/2071,4/22/2014,tue,TRUE,FALSE,no event
1/10/2071,4/23/2014,wed,TRUE,FALSE,no event
1/11/2071,4/24/2014,thu,TRUE,FALSE,no event
1/12/2071,4/25/2014,fri,TRUE,FALSE,no event
1/13/2071,4/26/2014,sat,TRUE,TRUE,no event
1/14/2071,4/27/2014,sun,FALSE,FALSE,no event
1/15/2071,4/28/2014,mon,FALSE,FALSE,no event
1/16/2071,4/29/2014,tue,FALSE,FALSE,no event
1/17/2071,4/30/2014,wed,FALSE,FALSE,no event
1/18/2071,5/1/2014,thu,TRUE,FALSE,no event
1/19/2071,5/2/2014,fri,FALSE,FALSE,no event
1/20/2071,5/3/2014,sat,TRUE,TRUE,no event
1/21/2071,5/4/2014,sun,FALSE,FALSE,no event
1/22/2071,5/5/2014,mon,FALSE,FALSE,no event
1/23/2071,5/6/2014,tue,FALSE,FALSE,no event
1/24/2071,5/7/2014,wed,FALSE,FALSE,no event
1/25/2071,5/8/2014,thu,FALSE,FALSE,no event
1/26/2071,5/9/2014,fri,TRUE,FALSE,no event
1/27/2071,5/10/2014,sat,FALSE,TRUE,no event
1/28/2071,5/11/2014,sun,FALSE,FALSE,no event
1/29/2071,5/12/2014,mon,FALSE,FALSE,no event
1/30/2071,5/13/2014,tue,TRUE,FALSE,no event
1/31/2071,5/14/2014,wed,FALSE,TRUE,no event
2/1/2071,5/15/2014,thu,FALSE,FALSE,no event
2/2/2071,5/16/2014,fri,FALSE,FALSE,no event
2/3/2071,5/17/2014,sat,TRUE,TRUE,no event
2/4/2071,5/18/2014,sun,FALSE,FALSE,no event
2/5/2071,5/19/2014,mon,FALSE,FALSE,no event
2/6/2071,5/20/2014,tue,FALSE,FALSE,no event
2/7/2071,5/21/2014,wed,FALSE,FALSE,no event
2/8/2071,5/22/2014,thu,TRUE,FALSE,no event
2/9/2071,5/23/2014,fri,FALSE,FALSE,no event
2/10/2071,5/24/2014,sat,FALSE,TRUE,no event
2/11/2071,5/25/2014,sun,FALSE,FALSE,no event
2/12/2071,5/26/2014,mon,FALSE,FALSE,no event
2/13/2071,5/27/2014,tue,FALSE,FALSE,no event
2/14/2071,5/28/2014,wed,FALSE,FALSE,no event
2/15/2071,5/29/2014,thu,TRUE,FALSE,no event
2/16/2071,5/30/2014,fri,FALSE,FALSE,no event
2/17/2071,5/31/2014,sat,TRUE,TRUE,no event
